City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,lompoc,34.6391,-120.4579,298.16,75,100,3.58,US,1682458382
178,guangyuan,32.442,105.823,286.38,90,100,1.49,CN,1682458382
179,chibougamau,49.9168,-74.3659,279.94,81,75,5.14,CA,1682458134
180,puerto baquerizo moreno,-0.9,-89.6,301.7,79,40,3.09,EC,1682458198
181,sinabang,2.4803,96.3801,300.59,79,100,1.77,ID,1682458325
182,uturoa,-16.7333,-151.4333,301.15,76,18,4.9,PF,1682458240
183,east end,34.5507,-92.341,291.09,62,100,2.82,US,1682458384
184,kruisfontein,-34.0033,24.7314,289.75,92,89,1.0,ZA,1682458384
185,prince rupert,54.3161,-130.3201,282.2,72,100,7.72,CA,1682458105
186,cestos city,5.46,-9.5828,300.59,84,100,3.07,LR,1682458385
187,minas de marcona,-15.2119,-75.1103,292.09,71,24,5.94,PE,1682458385
188,talnakh,69.4865,88.3972,272.71,86,97,2.29,RU,1682458386
189,quibala,-10.7337,14.98,290.54,94,75,0.51,AO,1682458386
190,kodiak,57.79,-152.4072,276.88,87,75,6.69,US,1682458387
191,utrik,11.2278,169.8474,300.18,79,85,8.46,MH,1682458387
192,ribeira grande,38.5167,-28.7,290.8,94,20,4.02,PT,1682458170
193,charlestown,-32.95,151.6667,289.64,91,4,0.89,AU,1682458105
194,linxia chengguanzhen,35.6003,103.2064,281.4,37,63,1.43,CN,1682458389
195,tofol,5.3248,163.0078,301.63,73,89,7.19,FM,1682458195
196,ilebo,-4.3167,20.5833,296.14,86,2,0.65,CD,1682458390
197,stanley,54.868,-1.6985,276.87,82,0,1.03,GB,1682458199
198,margate,51.3813,1.3862,279.65,73,42,1.34,GB,1682458391
199,arteche,12.2645,125.4048,299.04,84,52,2.05,PH,1682458314
200,uthal,25.8072,66.6219,300.33,44,100,3.2,PK,1682458392
201,prado,-17.3411,-39.2208,297.31,86,7,2.11,BR,1682458392
202,maracaibo,10.6317,-71.6406,304.08,53,22,3.09,VE,1682458164
203,tazacorte,28.629,-17.9293,293.69,91,75,3.6,ES,1682458393
204,xuanzhou,30.9525,118.7553,282.97,90,0,1.05,CN,1682458393
205,basco,20.4487,121.9702,298.16,74,38,5.3,PH,1682458393
206,qaqortoq,60.7167,-46.0333,274.78,89,98,1.2,GL,1682458394
207,port alfred,-33.5906,26.891,293.25,97,99,1.79,ZA,1682458208
208,chissamba,-12.1667,17.3333,292.18,78,99,0.84,AO,1682458394
209,bago,17.3367,96.4797,301.41,61,39,1.01,MM,1682458334
210,hithadhoo,-0.6,73.0833,301.91,75,100,5.94,MV,1682458395
211,pacific grove,36.6177,-121.9166,297.4,74,0,2.57,US,1682458236
212,klyuchi,52.2667,79.1667,281.7,63,82,6.29,RU,1682458396
213,reconquista,-29.15,-59.65,294.82,54,93,0.6,AR,1682458217
214,tuy hoa,13.0833,109.3,297.68,87,93,1.3,VN,1682458396
215,cherniakhiv,50.4565,28.6702,281.87,87,83,3.14,UA,1682458398
216,gritsovskiy,54.1376,38.1604,282.75,94,100,3.76,RU,1682458398
217,grootfontein,-19.5667,18.1167,289.91,77,12,1.03,NA,1682458398
218,waldkappel,51.15,9.8833,277.32,94,56,1.47,DE,1682458399
219,alofi,-19.0595,-169.9187,300.09,78,68,4.12,NU,1682458399
220,brookings,44.3114,-96.7984,284.34,36,0,3.09,US,1682458234
221,cruzeiro do sul,-29.5128,-51.9853,295.1,87,100,0.79,BR,1682458400
222,adrar,20.5022,-10.0711,304.18,11,0,3.68,MR,1682458400
223,ansermanuevo,4.7972,-75.995,303.8,80,37,2.18,CO,1682458400
224,salinopolis,-0.6136,-47.3561,299.42,84,74,3.9,BR,1682458401
225,ardakan,32.31,54.0175,292.04,53,78,1.49,IR,1682458401
226,ulaangom,49.9811,92.0667,271.07,38,97,1.11,MN,1682458401
227,leava,-14.3,-178.1667,301.59,77,32,6.64,WF,1682458277
228,at-bashi,41.1702,75.8106,278.96,75,76,0.34,KG,1682458402
229,kavaratti,10.5669,72.642,300.6,69,46,2.45,IN,1682458402
230,ancud,-41.8697,-73.8203,284.86,97,100,2.78,CL,1682458252
231,mar del plata,-38.0023,-57.5575,292.64,94,75,2.06,AR,1682458326
232,tannum sands,-23.9504,151.3693,293.09,68,0,4.63,AU,1682458403
233,saudarkrokur,65.7461,-19.6394,272.72,65,9,2.64,IS,1682458404
234,arafat,21.3594,39.9664,303.09,46,11,1.91,SA,1682458405
235,brisas de zicatela,15.8369,-97.0419,303.44,62,40,4.12,MX,1682458405
